Soal 1 ,Soal 2,Soal 3,Soal 4,Soal 5,Soal 6 ,Soal 7,Soal 8,Soal 9 ,Soal 10 ,Hasil
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
2,2,2,2,2,2,1,2,2,1,Bukan Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
1,1,1,1,1,2,1,2,1,1,Bakat Bahasa
1,1,2,1,2,1,1,1,1,2,Bakat Bahasa
1,2,1,2,1,2,1,1,2,1,Bakat Bahasa
1,1,1,1,1,1,1,2,2,1,Bakat Bahasa
1,1,1,2,1,2,2,1,1,1,Bakat Bahasa
1,1,2,1,2,1,1,2,2,2,Bakat Bahasa
1,1,1,1,1,2,2,2,2,1,Bakat Bahasa
2,2,1,2,1,2,2,1,1,1,Bakat Bahasa
1,1,1,1,2,1,1,1,1,2,Bakat Bahasa
2,1,1,2,1,1,2,2,2,2,Bukan Bakat Bahasa
2,2,2,2,2,2,2,2,2,1,Bukan Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
1,1,1,1,1,1,1,1,2,2,Bakat Bahasa
1,1,1,2,2,1,1,2,2,1,Bakat Bahasa
1,2,1,1,1,1,1,2,1,1,Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
1,1,2,1,2,1,1,1,1,1,Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
2,2,2,2,2,2,2,1,1,1,Bukan Bakat Bahasa
1,2,2,1,1,2,2,1,2,2,Bukan Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
1,1,2,1,1,1,1,1,2,2,Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
1,2,2,1,1,1,1,1,1,1,Bakat Bahasa
1,1,2,1,2,2,1,1,1,1,Bakat Bahasa
1,2,1,1,1,2,1,1,1,1,Bakat Bahasa
1,1,1,1,2,1,2,2,1,1,Bakat Bahasa
2,1,1,1,2,2,2,2,2,2,Bukan Bakat Bahasa
1,1,1,1,1,1,1,1,1,2,Bakat Bahasa
2,2,1,1,1,1,1,1,1,1,Bakat Bahasa
2,2,1,1,1,1,1,2,1,1,Bakat Bahasa
2,2,2,2,2,2,2,2,1,1,Bukan Bakat Bahasa
1,1,1,1,2,1,1,1,2,1,Bakat Bahasa
1,1,1,1,1,1,1,1,1,2,Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
1,1,1,2,1,1,1,1,1,1,Bakat Bahasa
1,1,1,1,1,1,2,2,1,1,Bakat Bahasa
1,1,2,2,2,2,1,1,2,2,Bukan Bakat Bahasa
1,1,1,1,2,1,1,1,1,2,Bakat Bahasa
1,2,1,1,1,1,1,1,1,1,Bakat Bahasa
2,2,1,2,1,1,2,2,2,1,Bukan Bakat Bahasa
2,2,2,2,2,2,2,2,2,2,Bukan Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
