Soal 1,Soal 2,Soal 3,Soal 4,Soal 5,Soal 6,Soal 7 ,Soal 8 ,Soal 9 ,Soal 10,Hasil
12,8.5,223,31 dan 64,8,3,"4,5,7","11,15,13",r,M-N,Bukan Bakat Numerik
13.5,8.5,213,31 dan 64,10,3,"4,5,7","12,16,14",f,P-O,Bukan Bakat Numerik
63,9.5,233,41 dan 84,11,4,"4,5,7","11,15,13",g,M-N,Bukan Bakat Numerik
61.5,9.5,213,41 dan 84,8,7,"4,5,7","12,16,14",r,O-P,Bukan Bakat Numerik
13.5,8.5,233,36 dan 74,10,4,"3,4,7","11,15,13",g,N-M,Bukan Bakat Numerik
13.5,9.5,203,36 dan 74,10,4,"3,4,7","14,13,14",f,O-P,Bukan Bakat Numerik
61.5,9.5,223,41 dan 84,11,4,"5,4,7","14,13,14",r,O-P,Bukan Bakat Numerik
12,10,213,36 dan 74,10,3,"3,4,7","14,13,14",f,M-N,Bukan Bakat Numerik
12,8.5,223,31 dan 64,10,4,"3,4,7","14,13,14",r,O-P,Bukan Bakat Numerik
12,9.5,233,46 dan 94,10,12,"4,5,7","12,16,14",r,O-P,Bukan Bakat Numerik
12,8.5,213,36 dan 74,10,12,"5,4,7","12,16,14",r,O-P,Bukan Bakat Numerik
61.5,9.5,203,41 dan 84,8,12,"4,5,7","14,13,14",q,M-N,Bukan Bakat Numerik
13.5,10,233,41 dan 84,10,4,"6,4,5","14,13,14",q,P-O,Bakat Numerik
61.5,10,203,31 dan 64,8,12,"4,5,7","14,13,14",r,M-N,Bukan Bakat Numerik
61.5,9.5,223,36 dan 74,11,3,"5,4,7","11,15,13",r,P-O,Bukan Bakat Numerik
13.5,8.5,233,46 dan 94,10,4,"4,5,7","14,15,13",r,O-P,Bakat Numerik
61.5,10,213,41 dan 84,10,3,"5,4,7","12,16,14",r,N-M,Bakat Numerik
63,8.5,203,46 dan 94,9,4,"5,4,7","14,13,14",r,O-P,Bukan Bakat Numerik
13.5,9.5,223,36 dan 74,11,12,"6,4,5","12,16,14",g,M-N,Bukan Bakat Numerik
63,10,223,41 dan 84,8,12,"4,5,7","12,16,14",q,N-M,Bukan Bakat Numerik
63,8.5,203,46 dan 94,8,7,"6,4,5","12,16,14",q,O-P,Bukan Bakat Numerik
13.5,9.5,223,36 dan 74,10,3,"4,5,7","12,16,14",q,M-N,Bukan Bakat Numerik
63,10,223,41 dan 84,10,12,"6,4,5","11,15,13",q,O-P,Bukan Bakat Numerik
13.5,8.5,203,31 dan 64,11,3,"3,4,7","11,15,13",g,M-N,Bukan Bakat Numerik
13.5,9.5,223,36 dan 74,10,12,"4,5,7","12,16,14",g,O-P,Bukan Bakat Numerik
13.5,8.5,203,31 dan 64,11,3,"6,4,5","11,15,13",g,M-N,Bukan Bakat Numerik
12,8.5,233,46 dan 94,10,12,"3,4,7","11,15,13",g,M-N,Bukan Bakat Numerik
13.5,8.5,203,41 dan 84,10,7,"5,4,7","14,13,14",f,O-P,Bakat Numerik
13.5,10,213,41 dan 84,10,3,"3,4,7","14,13,14",q,N-M,Bakat Numerik
12,9.5,213,36 dan 74,10,4,"4,5,7","12,16,14",q,N-M,Bukan Bakat Numerik
12,9.5,213,36 dan 74,9,4,"3,4,7","12,16,14",q,O-P,Bukan Bakat Numerik
13.5,8.5,223,31 dan 64,11,12,"3,4,7","12,16,14",f,O-P,Bukan Bakat Numerik
13.5,9.5,203,36 dan 74,10,4,"4,5,7","14,13,14",f,O-P,Bukan Bakat Numerik
63,8.5,213,36 dan 74,10,7,"5,4,7","11,15,13",q,N-M,Bukan Bakat Numerik
12,8.5,223,36 dan 74,10,3,"6,4,5","14,13,14",f,N-M,Bukan Bakat Numerik
13.5,9.5,233,36 dan 74,9,3,"5,4,7","11,15,13",r,O-P,Bakat Numerik
63,10,213,36 dan 74,11,3,"5,4,7","14,15,13",q,M-N,Bukan Bakat Numerik
12,10,233,31 dan 64,11,3,"5,4,7","12,16,14",q,P-O,Bukan Bakat Numerik
61.5,10,223,41 dan 84,9,3,"4,5,7","14,15,13",f,M-N,Bukan Bakat Numerik
13.5,9.5,233,46 dan 94,8,7,"6,4,5","14,15,13",r,N-M,Bukan Bakat Numerik
13.5,8.5,233,41 dan 84,10,12,"5,4,7","11,15,13",f,O-P,Bakat Numerik
13.5,8.5,233,41 dan 84,10,3,"5,4,7","14,13,14",f,O-P,Bakat Numerik
12,10,213,36 dan 74,10,4,"6,4,5","14,13,14",q,N-M,Bukan Bakat Numerik
13.5,10,213,41 dan 84,9,4,"3,4,7","11,15,13",g,N-M,Bukan Bakat Numerik
12,11,213,31 dan 64,10,3,"4,5,7","12,16,14",q,M-N,Bukan Bakat Numerik
13.5,8.5,223,41 dan 84,10,4,"5,4,7","14,13,14",f,O-P,Bakat Numerik
13.5,10,203,46 dan 94,10,12,"3,4,7","14,13,14",r,O-P,Bukan Bakat Numerik
12,10,223,41 dan 84,10,3,"4,5,7","14,15,13",f,O-P,Bukan Bakat Numerik
12,10,213,41 dan 84,10,12,"5,4,7","12,16,14",r,O-P,Bukan Bakat Numerik
